ID ra dec shotid
4877729397815158017 176.303177 51.729247 20190105024
4877729396930201857 163.352842 50.505006 20191227023
4862615765831752962 163.772645 51.912824 20200119020
4877729396926034689 188.718321 51.777734 20190302022
4877729395212672256 9.603984 -0.972787 20191227011
4877729418709108481 20.998886 0.701272 20191027017
4877729431218706177 26.722409 -0.502385 20191121017
4877729420969841664 23.960244 -0.386811 20190927025
4877729420969841664 23.960244 -0.386811 20191222014
4877729397813061120 176.511218 51.209957 20180208012
4877729397813061120 176.511218 51.209957 20180214009
4877729397813061120 176.511218 51.209957 20180310002
4877729397813061120 176.511218 51.209957 20180312008
4877729397813061120 176.511218 51.209957 20180312014
4877729397813061120 176.511218 51.209957 20190202012
4862615758496627502 161.585448 50.617867 20191207018
4877729431218708992 28.315777 -0.424166 20191006026
4877729402865069824 224.480426 52.211011 20190414011
4877729394742802946 28.77253 -0.893922 20191202021
4877729420969844992 25.982356 -0.227277 20181112014
4877729420969836288 20.893373 -0.231244 20180820020
4877729420969836288 20.893373 -0.231244 20181107010
4877729420969836288 20.893373 -0.231244 20181203020
4862615787731612763 198.189463 50.77845 20190504025
4862615787731612763 198.189463 50.77845 20191230031
4877729399180449281 189.793213 50.714094 20190625013
4877729399180449281 189.793213 50.714094 20200124024
4877729394749096449 30.069047 0.396772 20181129013
4877729394749096449 30.069047 0.396772 20200115013
4877729396772856576 159.851363 51.182763 20180411012
4877729403555049216 226.464664 52.169205 20190724015
4877729399180436480 178.013143 50.52754 20200124022
4862615768055313452 231.273595 51.324656 20180717010
4877729397823530240 160.789945 51.058516 20180414005
4877729397823530240 160.789945 51.058516 20190118016
4862615758496684850 164.92021 51.20724 20180112010
4862615758496684850 164.92021 51.20724 20180312006
4862615758496684850 164.92021 51.20724 20180408016
4877729402802163968 216.919878 50.829296 20190721013
4877729430950234881 15.754796 -0.545587 20190831011
4877729420969830656 17.542125 -0.419372 20190907016
4877729420969830656 17.542125 -0.419372 20190908018
4877729420969830656 17.542125 -0.419372 20190928017
4877729430954427139 14.498723 0.266845 20181014015
4862615765831716100 161.810658 51.514884 20181215030
4877729411610221056 224.635944 50.722751 20190728014
4877729411610221056 224.635944 50.722751 20190803012
4862615765831752966 163.756392 51.938001 20200119020
4877729394359025153 12.994376 -0.610976 20191227010
4862615758530181933 161.495334 50.992631 20181204028
4877729397815169281 186.863146 51.940678 20190427020
4877729399182534145 178.472737 51.006202 20190324014
4877729415183745281 199.485223 51.836792 20190105028
4862615754998416942 34.156937 -0.504924 20191008019
4877729430954429696 15.918448 0.369073 20180912025
4877729399182525697 170.694386 50.316182 20191230025
4862615758530288424 167.42052 52.118795 20200104025
4877729431218700288 23.182718 -0.517572 20190903026
4862615765866065155 209.295492 51.718516 20190404025
4862615758530267939 166.384729 51.986202 20190426013
4862615758530267939 166.384729 51.986202 20191231027
4862615758496783138 170.479637 52.200867 20191231030
4877729420974024449 17.257729 0.591143 20190808018
4877729420974024449 17.257729 0.591143 20191123009
4877729413839459073 195.708263 51.716713 20190621013
4877729418709092865 11.820198 0.767787 20191022015
4877729402806359552 218.632695 51.136906 20190606021
4877729397813054976 170.879688 50.787873 20190507009
4877729397813054976 170.879688 50.787873 20190529014
4877729411608123136 223.731238 50.727625 20190624020
4877729420967747841 25.958894 -0.755048 20200113010
4877729394749086209 24.037811 0.209117 20181010027
4877729394749086209 24.037811 0.209117 20181210013
4877729413839458049 194.865367 51.780086 20181215036
4877729413843659265 201.567195 51.82271 20190204019
4877729413843659265 201.567195 51.82271 20190209024
4877729411606020096 218.620633 51.988707 20190726012
4862615758496811814 172.264537 52.283333 20200119024
4877729396923927552 179.34319 51.170358 20180409004
4877729396923927552 179.34319 51.170358 20180411015
4877729394742803713 29.223617 -0.86032 20191218015
4877729396928120321 177.684092 51.976168 20190506010
4877729413837365760 199.202806 50.798888 20190412014
4877729411603923712 219.039841 51.336062 20180515005
4877729396928119809 177.302328 51.940703 20190502021
4877729420969853185 30.802102 -0.217805 20180821023
4877729420969853185 30.802102 -0.217805 20181106011
4877729399182527489 172.332167 50.542895 20191227025
4862615755799773857 11.06103 -0.146863 20180815017
4862615755799773857 11.06103 -0.146863 20180911016
4862615765831720199 162.01639 51.521554 20181215030
4877729420974020866 15.235975 0.562184 20181203012
4877729420974020866 15.235975 0.562184 20191123015
4877729406296140288 35.145061 0.857447 20191026019
4877729397819341057 165.742635 51.170478 20180223014
4877729397819341057 165.742635 51.170478 20190501018
4877729397813064704 179.954133 51.366776 20180612013
4862615755799757484 10.43069 -0.007398 20180107002
4862615755799757484 10.43069 -0.007398 20181102007
4862615767830198536 216.124225 51.379406 20180517017
