ra dec shotid ifuslot amp wl fibnum detectid cat cat2 gmag flux fwhm
213.06640625 51.214820861816406 20180508007 32 LL 3932.139892578125 23 1000277880 N/A good 24.126906964846974 18.34000015258789 4.159999847412109
212.949951171875 51.16652297973633 20180508007 45 LU 4484.0498046875 108 1000277905 N/A good 25.118981585399784 23.969999313354492 3.130000114440918
213.12506103515625 51.10342025756836 20180508007 72 RU 4015.22998046875 54 1000277982 N/A good 25.901855595101612 32.18000030517578 3.3299999237060547
213.0408477783203 51.18373107910156 20180508007 43 LU 5358.0400390625 24 1000278050 N/A good 25.5781605357131 17.350000381469727 5.380000114440918
212.86947631835938 51.14199447631836 20180508007 47 LL 3624.10009765625 25 1000278059 N/A good 24.112665734221522 48.91999816894531 4.190000057220459
213.0756378173828 51.104156494140625 20180508007 73 LU 5164.58984375 52 1000278120 N/A good 25.722016611506607 20.6200008392334 5.099999904632568
213.08143615722656 51.18748092651367 20180508007 42 RL 3699.610107421875 96 1000278300 N/A good 25.19661597661222 34.7400016784668 5.0
219.37049865722656 51.163055419921875 20180508008 45 RL 4271.60009765625 84 1000278434 N/A good 26.867607968462227 10.8100004196167 2.859999895095825
219.32809448242188 51.238182067871094 20180508008 15 RU 3985.159912109375 79 1000278439 N/A good 24.08001159831947 20.6200008392334 5.360000133514404
219.42507934570312 51.057525634765625 20180508008 85 RL 3840.39990234375 87 1000278532 N/A good 24.23895378524066 26.809999465942383 2.640000104904175
183.1244354248047 51.31108093261719 20180508016 32 LL 4302.35986328125 40 1000302098 N/A good 25.75823315743294 21.65999984741211 3.299999952316284
199.2638397216797 51.453556060791016 20180509008 93 LL 4468.7099609375 74 1000303240 N/A good 29.029931431003643 23.18000030517578 4.400000095367432
199.27066040039062 51.39006042480469 20180509008 74 LU 4132.91015625 22 1000303350 N/A good 24.239895976684913 21.3799991607666 3.9700000286102295
199.29031372070312 51.27336120605469 20180509008 36 RU 4112.97998046875 86 1000303355 N/A good 24.330004445963702 34.970001220703125 4.670000076293945
199.27076721191406 51.40163803100586 20180509008 74 RU 4209.27001953125 20 1000303496 N/A good 30.211271100090002 12.279999732971191 4.460000038146973
214.2557830810547 51.334388732910156 20180510004 72 LL 3690.8701171875 51 1000304546 N/A good 24.0441673403175 29.520000457763672 4.210000038146973
214.16358947753906 51.22032165527344 20180510004 105 RL 4459.89990234375 21 1000304576 N/A good 24.026641182704964 19.3799991607666 4.5
213.97064208984375 51.41411590576172 20180510004 27 RL 4474.60986328125 49 1000304726 N/A good 25.20504855181639 16.020000457763672 3.4800000190734863
214.1822509765625 51.28769302368164 20180510004 84 LL 3992.8798828125 37 1000304841 N/A good 24.19339263727077 24.59000015258789 2.7200000286102295
214.17098999023438 51.397247314453125 20180510004 43 RU 4668.72021484375 82 1000304845 N/A good 26.289062839175287 12.380000114440918 2.9600000381469727
214.13563537597656 51.26921463012695 20180510004 85 RU 5232.759765625 16 1000304958 N/A good 25.437240184401794 14.829999923706055 3.930000066757202
214.16766357421875 51.22506332397461 20180510004 105 LL 4301.89013671875 20 1000305043 N/A good 24.807503477445515 14.199999809265137 4.440000057220459
